ラテン文字	キリル文字
Štъ	Щъ
štъ	щъ
Čъ	Чъ
čъ	чъ
Šъ	Шъ
šъ	шъ
Žъ	Жъ
žъ	жъ
Dzъ	Ѕъ
dzъ	ѕъ
Ǵъ	Ћъ
ǵъ	ћъ
Ksъ	Ѯъ
ksъ	ѯъ
Psъ	Ѱъ
psъ	ѱъ
Thъ	Ѳъ
thъ	ѳъ
Ěъ	Ѣъ
ěъ	ѣъ
Jęъ	Ѩъ
jęъ	ѩъ
Ęъ	Ѧъ
ęъ	ѧъ
Jǫъ	Ѭъ
jǫъ	ѭъ
Ǫъ	Ѫъ
ǫъ	ѫъ
Ôtъ	Ѡтъ
ôtъ	ѡтъ
Ôъ	Ѡъ
ôъ	ѡъ
Üъ	Ѵъ
üъ	ѵъ
Ɩъ	Ꙇъ
ɩъ	ꙇъ
Jjъ	Ꙇъ
jjъ	ꙇъ
Jaъ	Ꙗъ
jaъ	ꙗъ
Jeъ	Ѥъ
jeъ	ѥъ
Juъ	Юъ
juъ	юъ
Aъ	Аъ
aъ	аъ
Eъ	Еъ
eъ	еъ
Iъ	Иъ
iъ	иъ
Iъ	Іъ
ıъ	іъ
Jъ	Іъ
jъ	іъ
Oъ	Оъ
oъ	оъ
Uъ	Ѹъ
uъ	ѹъ
Yъ	Ꙑъ
yъ	ꙑъ
Sъ	Съ
sъ	съ
Zъ	Зъ
zъ	зъ
Cъ	Цъ
cъ	цъ
Pъ	Пъ
pъ	пъ
Bъ	Бъ
bъ	бъ
Vъ	Въ
vъ	въ
Tъ	Тъ
tъ	тъ
Dъ	Дъ
dъ	дъ
Kъ	Къ
kъ	къ
Gъ	Гъ
gъ	гъ
Xъ	Хъ
xъ	хъ
Lъ	Лъ
lъ	лъ
Rъ	Ръ
rъ	ръ
Mъ	Мъ
mъ	мъ
Nъ	Нъ
nъ	нъ
Fъ	Фъ
fъ	фъ
Qъ	Ҁъ
qъ	ҁъ
⏜ъ	҄ъ
^ъ	҄ъ
˜ъ	҃ъ
~ъ	҃ъ
¯ъ	꙯ъ
/ъ	꙯ъ
Št"	Щъ
št"	щъ
Sht"	Щъ
sht"	щъ
Č"	Чъ
č"	чъ
Ch"	Чъ
ch"	чъ
Š"	Шъ
š"	шъ
Sh"	Шъ
sh"	шъ
Ž"	Жъ
ž"	жъ
Zh"	Жъ
zh"	жъ
Dz"	Ѕъ
dz"	ѕъ
Ǵ"	Ћъ
ǵ"	ћъ
Gh"	Ћъ
gh"	ћъ
Ks"	Ѯъ
ks"	ѯъ
Ps"	Ѱъ
ps"	ѱъ
Th"	Ѳъ
th"	ѳъ
Ɩ"	Ꙇъ
ɩ"	ꙇъ
Jj"	Ꙇъ
jj"	ꙇъ
Ě"	Ѣъ
ě"	ѣъ
Eh"	Ѣъ
eh"	ѣъ
Ję"	Ѩъ
ję"	ѩъ
Jenn"	Ѩъ
jenn"	ѩъ
Ę"	Ѧъ
ę"	ѧъ
Enn"	Ѧъ
enn"	ѧъ
Jǫ"	Ѭъ
jǫ"	ѭъ
Jonn"	Ѭъ
jonn"	ѭъ
Ǫ"	Ѫъ
ǫ"	ѫъ
Onn"	Ѫъ
onn"	ѫъ
Ôt"	Ѡтъ
ôt"	ѡтъ
Oht"	Ѡтъ
oht"	ѡтъ
Ô"	Ѡъ
ô"	ѡъ
Oh"	Ѡъ
oh"	ѡъ
Ü"	Ѵъ
ü"	ѵъ
Uh"	Ѵъ
uh"	ѵъ
Ja"	Ꙗъ
ja"	ꙗъ
Je"	Ѥъ
