ラテン文字	キリル文字
je"	ѥъ
Ju"	Юъ
ju"	юъ
A"	Аъ
a"	аъ
E"	Еъ
e"	еъ
I"	Иъ
i"	иъ
Î"	Іъ
î"	іъ
J"	Іъ
j"	іъ
O"	Оъ
o"	оъ
U"	Ѹъ
u"	ѹъ
Y"	Ꙑъ
y"	ꙑъ
S"	Съ
s"	съ
Z"	Зъ
z"	зъ
C"	Цъ
c"	цъ
P"	Пъ
p"	пъ
B"	Бъ
b"	бъ
V"	Въ
v"	въ
T"	Тъ
t"	тъ
D"	Дъ
d"	дъ
K"	Къ
k"	къ
G"	Гъ
g"	гъ
X"	Хъ
x"	хъ
H"	Хъ
h"	хъ
L"	Лъ
l"	лъ
R"	Ръ
r"	ръ
M"	Мъ
m"	мъ
N"	Нъ
n"	нъ
F"	Фъ
f"	фъ
Q"	Ҁъ
q"	ҁъ
⏜"	҄ъ
^"	҄ъ
˜"	҃ъ
~"	҃ъ
¯"	꙯ъ
/"	꙯ъ
ъ	​ъ
"	​ъ
Štь	Щь
štь	щь
Čь	Чь
čь	чь
Šь	Шь
šь	шь
Žь	Жь
žь	жь
Dzь	Ѕь
dzь	ѕь
Ǵь	Ћь
ǵь	ћь
Ksь	Ѯь
ksь	ѯь
Psь	Ѱь
psь	ѱь
Thь	Ѳь
thь	ѳь
Ěь	Ѣь
ěь	ѣь
Jęь	Ѩь
jęь	ѩь
Ęь	Ѧь
ęь	ѧь
Jǫь	Ѭь
jǫь	ѭь
Ǫь	Ѫь
ǫь	ѫь
Ôь	Ѡь
ôь	ѡь
Üь	Ѵь
üь	ѵь
Ɩь	Ꙇь
ɩь	ꙇь
Jjь	Ꙇь
jjь	ꙇь
Jaь	Ꙗь
jaь	ꙗь
Jeь	Ѥь
jeь	ѥь
Juь	Юь
juь	юь
Aь	Аь
aь	аь
Eь	Еь
eь	еь
Iь	Иь
iь	иь
Iь	Іь
ıь	іь
Jь	Іь
jь	іь
Oь	Оь
oь	оь
Uь	Ѹь
uь	ѹь
Yь	Ꙑь
yь	ꙑь
Sь	Сь
sь	сь
Zь	Зь
zь	зь
Cь	Ць
cь	ць
Pь	Пь
pь	пь
Bь	Бь
bь	бь
Vь	Вь
vь	вь
Tь	Ть
tь	ть
Dь	Дь
dь	дь
Kь	Кь
kь	кь
Gь	Гь
gь	гь
Xь	Хь
xь	хь
Lь	Ль
lь	ль
Rь	Рь
rь	рь
Mь	Мь
mь	мь
Nь	Нь
nь	нь
Fь	Фь
fь	фь
Qь	Ҁь
qь	ҁь
⏜ь	҄ь
^ь	҄ь
˜ь	҃ь
~ь	҃ь
¯ь	꙯ь
/ь	꙯ь
Št'	Щь
št'	щь
Sht'	Щь
sht'	щь
Č'	Чь
č'	чь
Ch'	Чь
ch'	чь
Š'	Шь
š'	шь
Sh'	Шь
sh'	шь
Ž'	Жь
ž'	жь
Zh'	Жь
zh'	жь
Dz'	Ѕь
dz'	ѕь
Ǵ'	Ћь
ǵ'	ћь
Gh'	Ћь
gh'	ћь
Ks'	Ѯь
ks'	ѯь
Ps'	Ѱь
ps'	ѱь
Th'	Ѳь
th'	ѳь
Ɩ'	Ꙇь
ɩ'	ꙇь
Jj'	Ꙇь
jj'	ꙇь
Ě'	Ѣь
ě'	ѣь
Eh'	Ѣь
eh'	ѣь
Ję'	Ѩь
ję'	ѩь
Jenn'	Ѩь
jenn'	ѩь
Ę'	Ѧь
ę'	ѧь
Enn'	Ѧь
enn'	ѧь
Jǫ'	Ѭь
jǫ'	ѭь
Jonn'	Ѭь
jonn'	ѭь
Ǫ'	Ѫь
ǫ'	ѫь
Onn'	Ѫь
onn'	ѫь
Ô'	Ѡь
ô'	ѡь
Oh'	Ѡь
oh'	ѡь
Ü'	Ѵь
ü'	ѵь
Uh'	Ѵь
uh'	ѵь
Ja'	Ꙗь
ja'	ꙗь
Je'	Ѥь
je'	ѥь
Ju'	Юь
ju'	юь
A'	Аь
a'	аь
E'	Еь
e'	еь
I'	Иь
i'	иь
Î'	Іь
î'	іь
J'	Іь
j'	іь
O'	Оь
o'	оь
U'	Ѹь
u'	ѹь
Y'	Ꙑь
y'	ꙑь
S'	Сь
s'	сь
Z'	Зь
z'	зь
C'	Ць
c'	ць
P'	Пь
p'	пь
B'	Бь
b'	бь
V'	Вь
v'	вь
T'	Ть
t'	ть
D'	Дь
d'	дь
K'	Кь
k'	кь
G'	Гь
g'	гь
X'	Хь
x'	хь
H'	Хь
h'	хь
L'	Ль
l'	ль
R'	Рь
r'	рь
M'	Мь
m'	мь
N'	Нь
n'	нь
F'	Фь
f'	фь
Q'	Ҁь
q'	ҁь
⏜'	҄ь
^'	҄ь
˜'	҃ь
~'	҃ь
¯'	꙯ь
/'	꙯ь
ь	​ь
'	​ь
Št	Щ
št	щ
Sht	Щ
sht	щ
Č	Ч
č	ч
Ch	Ч
ch	ч
Š	Ш
š	ш
Sh	Ш
sh	ш
Ž	Ж
ž	ж
Zh	Ж
zh	ж
Dz	Ѕ
dz	ѕ
Ǵ	Ћ
ǵ	ћ
Gh	Ћ
gh	ћ
Ks	Ѯ
ks	ѯ
Ps	Ѱ
ps	ѱ
Th	Ѳ
th	ѳ
Ɩ	Ꙇ
ɩ	ꙇ
Jj	Ꙇ
jj	ꙇ
Ě	Ѣ
ě	ѣ
Eh	Ѣ
eh	ѣ
Ję	Ѩ
ję	ѩ
Jenn	Ѩ
jenn	ѩ
Ę	Ѧ
ę	ѧ
Enn	Ѧ
enn	ѧ
Jǫ	Ѭ
jǫ	ѭ
Jonn	Ѭ
jonn	ѭ
Ǫ	Ѫ
ǫ	ѫ
Onn	Ѫ
onn	ѫ
​Ôtъ	Ѿ
​ôtъ	ѿ
Oht	Ѿ
oht	ѿ
Ô	Ѡ
ô	ѡ
Oh	Ѡ
oh	ѡ
Ü	Ѵ
ü	ѵ
Uh	Ѵ
uh	ѵ
Ja	Ꙗ
ja	ꙗ
Je	Ѥ
je	ѥ
Ju	Ю
ju	ю
A	А
a	а
E	Е
e	е
I	И
i	и
Î	І
î	і
J	І
j	і
O	О
o	о
U	Ѹ
u	ѹ
Y	Ꙑ
y	ꙑ
S	С
s	с
Z	З
z	з
C	Ц
c	ц
P	П
p	п
B	Б
b	б
V	В
v	в
T	Т
t	т
D	Д
d	д
K	К
k	к
G	Г
g	г
X	Х
x	х
H	Х
h	х
L	Л
l	л
R	Р
r	р
M	М
m	м
N	Н
n	н
F	Ф
f	ф
Q	Ҁ
q	ҁ
#	҂
⏜	҄
^	҄
˜	҃
~	҃
¯	꙯
/	꙯
