ラテン文字,ヘブライ文字
a,א
bh,בּ
b,ב
gh,גּ
g,ג
dh,דּ
d,ד
h,ה
w,ו
z,ז
h,ח
ḥ,ט
y,י
kh,כּ
k,כ
kh,ךּ
k,ך
l,ל
m,מ
m,ם
n,נ
n,ן
s,ס
',ע
ph,פּ
p,פ
ph,ףּ
p,ף
ṣ,צ
ṣ,ץ
q,ק
r,ר
š,שׁ
s,שׂ
th,תּ
t,ת
i,ִ 
eh,ֵ 
e,ֶ 
a,ַ 
ah,ָ 
o,ֹ 
o,ֹֺ 
u,ּ 
u,ֻ 
.,׃
