ラテン文字	ゲエズ文字
fy	ፚ
p	ፐ
w	ወ

ä	አ
u	ኡ
i	ኢ
a	ኣ
e3	ኧ
e	ኤ
ə	እ
E	እ
o	ኦ
