ラテン文字	ハングル
>ￄ>	ᅣ
>{>>ￅ>	ᅤ
>ￅ>	ᅤ
>{>>ￆ>	ᅥ
>ￆ>	ᅥ
>{>>ￇ>	ᅦ
>ￇ>	ᅦ
>{>>ￊ>	ᅧ
>ￊ>	ᅧ
>{>>ￋ>	ᅨ
>ￋ>	ᅨ
>{>>ￌ>	ᅩ
>ￌ>	ᅩ
>{>>ￍ>	ᅪ
>ￍ>	ᅪ
>{>>ￎ>	ᅫ
>ￎ>	ᅫ
>{>>ￏ>	ᅬ
>ￏ>	ᅬ
>{>>ￒ>	ᅭ
>ￒ>	ᅭ
>{>>ￓ>	ᅮ
>ￓ>	ᅮ
>{>>ￔ>	ᅯ
>ￔ>	ᅯ
>{>>ￕ>	ᅰ
>ￕ>	ᅰ
>{>>ￖ>	ᅱ
>ￖ>	ᅱ
>{>>ￗ>	ᅲ
>ￗ>	ᅲ
>{>>ￚ>	ᅳ
>ￚ>	ᅳ
>{>>ￛ>	ᅴ
>ￛ>	ᅴ
>{>>ￜ>	ᅵ
>ￜ>	ᅵ
%%%%%	## 初声
>ﾡ>>(>	ᄀ
>ﾢ>>(>	ᄁ
>ﾤ>>(>	ᄂ
>ﾧ>>(>	ᄃ
>ﾨ>>(>	ᄄ
>ﾩ>>(>	ᄅ
>ﾱ>>(>	ᄆ
>ﾲ>>(>	ᄇ
>ﾳ>>(>	ᄈ
>ﾵ>>(>	ᄉ
>ﾶ>>(>	ᄊ
>ﾸ>>(>	ᄌ
>ﾹ>>(>	ᄍ
>ﾺ>>(>	ᄎ
>ﾻ>>(>	ᄏ
>ﾼ>>(>	ᄐ
>ﾽ>>(>	ᄑ
>ﾾ>>(>	ᄒ
>ﾷ>>(>	ᄋ
>(>	ᄋ
%%%%%	## 終声
>ﾣ>>}}>	ᆪ
>)>>ﾣ>	ᆪ
>ﾥ>>}}>	ᆬ
>)>>ﾥ>	ᆬ
>ﾦ>>}}>	ᆭ
>)>>ﾦ>	ᆭ
>ﾪ>>}}>	ᆰ
>)>>ﾪ>	ᆰ
>ﾫ>>}}>	ᆱ
>)>>ﾫ>	ᆱ
>ﾬ>>}}>	ᆲ
>)>>ﾬ>	ᆲ
>ﾭ>>}}>	ᆳ
>)>>ﾭ>	ᆳ
>ﾮ>>}}>	ᆴ
>)>>ﾮ>	ᆴ
>ﾯ>>}}>	ᆵ
>)>>ﾯ>	ᆵ
>ﾰ>>}}>	ᆶ
>)>>ﾰ>	ᆶ
>ﾴ>>}}>	ᆹ
>)>>ﾴ>	ᆹ
>ﾡ>>}>	ᆨ
>)>>ﾡ>	ᆨ
>ﾢ>>}>	ᆩ
